epoch,train_loss,val_loss,time_s
1,3.4715545177459717,0.35574519634246826,0.1
50,0.0009433787781745195,0.0008038274245336652,8.8
100,0.000254439510172233,0.00021892489166930318,18.3
150,8.560228161513805e-05,7.586678839288652e-05,27.9
200,3.944147829315625e-05,3.468280556262471e-05,37.4
250,2.3981687263585627e-05,2.104201848851517e-05,46.7
300,1.6138317732838914e-05,1.4740919141331688e-05,55.6
350,1.2042175512760878e-05,1.1216704479011241e-05,64.0
400,1.0089918760058936e-05,9.339555617771111e-06,71.2
450,8.554278792871628e-06,7.949205610202625e-06,77.5
500,8.554278792871628e-06,7.949205610202625e-06,79.3
550,8.554278792871628e-06,7.949205610202625e-06,81.0
600,8.554278792871628e-06,7.949205610202625e-06,82.8
650,8.554278792871628e-06,7.949205610202625e-06,84.6
700,8.554278792871628e-06,7.949205610202625e-06,86.3
750,8.554278792871628e-06,7.949205610202625e-06,88.1
800,8.554278792871628e-06,7.949205610202625e-06,89.8
850,8.554278792871628e-06,7.949205610202625e-06,91.6
900,8.554278792871628e-06,7.949205610202625e-06,93.3
950,8.554278792871628e-06,7.949205610202625e-06,95.1
1000,8.554278792871628e-06,7.949205610202625e-06,96.8
