epoch,train_loss,val_loss,time_s
1,3.712430238723755,0.38945600390434265,0.1
50,0.0006430071662180126,0.0005769648123532534,6.5
100,0.00016067489923443645,0.00014115044905338436,13.7
150,4.85287637275178e-05,4.326114139985293e-05,21.0
200,2.4184708308894187e-05,2.1384023057180457e-05,27.9
250,1.6193484043469653e-05,1.4240732525649946e-05,34.1
300,1.1883304978255183e-05,1.087571399693843e-05,40.3
350,9.56654275796609e-06,8.946344678406604e-06,45.4
400,8.98503731150413e-06,8.686801265866961e-06,48.2
450,8.98503731150413e-06,8.686801265866961e-06,49.5
500,8.98503731150413e-06,8.686801265866961e-06,50.8
550,8.98503731150413e-06,8.686801265866961e-06,52.1
600,8.98503731150413e-06,8.686801265866961e-06,53.4
650,8.98503731150413e-06,8.686801265866961e-06,54.7
700,8.98503731150413e-06,8.686801265866961e-06,56.0
750,8.98503731150413e-06,8.686801265866961e-06,57.3
800,8.98503731150413e-06,8.686801265866961e-06,58.7
850,8.98503731150413e-06,8.686801265866961e-06,60.0
900,8.98503731150413e-06,8.686801265866961e-06,61.3
950,8.98503731150413e-06,8.686801265866961e-06,62.6
1000,8.98503731150413e-06,8.686801265866961e-06,63.9
