epoch,train_loss,val_loss,time_s
1,4.167646408081055,0.6339235305786133,0.1
50,0.002577391220256686,0.002240132074803114,8.8
100,0.0008984918240457773,0.0008729528053663671,18.2
150,0.0002931774943135679,0.00032818916952237487,27.7
200,0.00013497287000063807,0.00015745368727948517,37.2
250,7.68303798395209e-05,9.087120997719467e-05,46.5
300,4.79069676657673e-05,6.665250839432701e-05,55.8
350,3.5857468901667744e-05,5.080581831862219e-05,63.8
400,2.721406053751707e-05,3.6837085644947365e-05,71.9
450,2.721406053751707e-05,3.6837085644947365e-05,73.9
500,2.721406053751707e-05,3.6837085644947365e-05,75.9
550,2.721406053751707e-05,3.6837085644947365e-05,77.9
600,2.721406053751707e-05,3.6837085644947365e-05,79.8
650,2.721406053751707e-05,3.6837085644947365e-05,81.8
700,2.721406053751707e-05,3.6837085644947365e-05,83.8
750,2.721406053751707e-05,3.6837085644947365e-05,85.8
800,2.721406053751707e-05,3.6837085644947365e-05,87.8
850,2.721406053751707e-05,3.6837085644947365e-05,89.8
900,2.721406053751707e-05,3.6837085644947365e-05,91.8
950,2.721406053751707e-05,3.6837085644947365e-05,93.8
1000,2.721406053751707e-05,3.6837085644947365e-05,95.8
